,SPY,EFA,EEM,AGG,LQD,IEF,SHY,Strategy,Remain,Price,Volume
2020-02-01 00:00:00-05:00,-0.1836434224690147,-0.7205589278572706,-1.5231569984716617,0.3321791516043252,0.4237792136302662,0.5679552397497937,0.10099092880155652,-1,10265.680720672346,110.24769262494632,{'ief': 93.0}
2020-03-02 00:00:00-05:00,-0.8964706216107361,-1.524669313336374,-1.0022756383825333,0.4224835809828924,0.35549903608953226,0.77518831088537,0.19980175504771455,-1,10572.055817516637,114.51841708473427,{'ief': 92.0}
2020-04-01 01:00:00-04:00,-4.519281019508036,-5.160394895230952,-5.441024084689184,0.4687257203633687,-0.8709044133758745,1.9826106082132944,0.5207686884134732,-1,10518.567133955561,115.02717288682484,{'ief': 91.0}
2020-05-01 01:00:00-04:00,0.604415809483138,-0.7283427777856338,-1.0486072627239251,0.5516261241173595,0.7609432852137498,0.7297852507339795,0.20059189102894096,-1,10744.07831676979,118.49006318677036,{'lqd': 90.0}
2020-05-31 01:00:00-04:00,0.47385678714423524,-0.11081273513079268,-0.5485361949164097,0.43985846046607446,0.6057463396594432,0.7662676804006644,0.2094702045505267,-1,10734.639594957755,115.4055029922764,{'ief': 93.0}
2020-06-30 01:00:00-04:00,0.8470106013580391,0.40993073139466896,0.8540235728107378,0.3884393910487073,0.8359054304835404,0.35665901111667764,0.0997678300281737,1,11785.177467200068,41.40447834211103,{'eem': 285.0}
2020-07-30 01:00:00-04:00,1.0224776971569467,0.7485085843561504,1.594122673209674,0.4746470502819039,0.896889655467476,0.5150533624291216,0.10439098165782856,1,12255.71117173792,42.71718920149762,{'eem': 287.0}
2020-08-29 01:00:00-04:00,1.7647108208421687,0.8606436834076339,1.3763157957396246,0.10311392147224463,0.067665106468987,0.1782238689238677,0.08392031414681507,1,11412.97503491334,311.44167456301057,{'spy': 36.0}
2020-09-28 01:00:00-04:00,0.5541498758012171,0.3587386208428763,0.5577301366159707,0.1636407968273006,0.2945826537695614,0.20793156185839218,0.037129051662389265,1,12015.030980780486,43.178288360725304,{'eem': 278.0}
2020-10-28 01:00:00-04:00,0.09574914710782172,-0.6140227021000851,0.8275184600195261,0.022270089000834756,0.12930264947042408,-0.05810863464696542,0.024684191395898697,-1,12208.39938379902,125.43249611265706,{'lqd': 97.0}
2020-11-27 00:00:00-05:00,6.348750957899095,5.0197474568400375,6.329034562776222,0.41988958483344263,1.413548171823941,0.07342645151347879,0.07222710233395532,1,12384.597420593038,353.95727361185567,{'spy': 35.0}
2020-12-27 00:00:00-05:00,2.609110684754701,2.088216043159349,2.4333461096329336,0.19614287470663547,0.5854169988125756,0.008070684771141284,0.05346276526747361,1,12733.623436145197,368.8344504401104,{'spy': 34.0}
